[2019-09-24 18:18:22 $5775.0]	WARNING	swManager_check_exit_status: worker#9[pid=5785] abnormal exit, status=0, signal=1
[2019-09-24 18:18:22 $5775.0]	WARNING	swManager_check_exit_status: worker#8[pid=5784] abnormal exit, status=0, signal=1
[2019-09-24 18:18:35 #5774.6]	INFO	Server is shutdown now
[2019-09-26 17:38:33 *4157.7]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-09-26 17:38:33 *4156.6]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-09-26 17:38:33 *4155.5]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-09-26 17:38:33 *4153.3]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-09-26 17:38:33 *4154.4]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-09-26 17:38:33 *4152.2]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-09-26 17:38:33 *4150.0]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-09-26 17:38:33 #4148.6]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-09-26 17:38:33 *4151.1]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-09-26 17:38:33 $4149.0]	WARNING	swSignal_callback (ERRNO 707): Unable to find callback function for signal Hangup: 1
[2019-09-26 17:38:33 $4149.0]	WARNING	swManager_check_exit_status: worker#14[pid=4164] abnormal exit, status=0, signal=1
[2019-09-26 17:38:33 $4149.0]	WARNING	swManager_check_exit_status: worker#13[pid=4163] abnormal exit, status=0, signal=1
[2019-09-26 17:38:33 $4149.0]	WARNING	swManager_check_exit_status: worker#12[pid=4162] abnormal exit, status=0, signal=1
[2019-09-26 17:38:33 $4149.0]	WARNING	swManager_check_exit_status: worker#11[pid=4161] abnormal exit, status=0, signal=1
[2019-09-26 17:38:33 $4149.0]	WARNING	swManager_check_exit_status: worker#10[pid=4160] abnormal exit, status=0, signal=1
[2019-09-26 17:38:33 $4149.0]	WARNING	swManager_check_exit_status: worker#9[pid=4159] abnormal exit, status=0, signal=1
[2019-09-26 17:38:33 $4149.0]	WARNING	swManager_check_exit_status: worker#8[pid=4158] abnormal exit, status=0, signal=1
[2019-09-26 17:38:46 #4148.6]	INFO	Server is shutdown now
